Accession n k30_s2000 k25_s2000 k21_s2000 k20_s2000 k19_s2000 k10_s2000 k21_s4000 k21_s1000 k19_s500
GCA_004137885.1 57620413 25825 25265 24839 24408 24691 865 12393 49611 99397
GCA_004137955.1 59024647 26168 25429 24930 24748 24895 877 12434 49856 99997
GCA_004137965.1 41286511 19863 19415 19570 19274 19292 687 9780 39001 77956
GCA_004137975.1 52856519 24170 23869 23642 23376 23308 810 11769 47135 94514
GCA_004138045.1 59625234 26095 25726 25233 25004 25055 877 12659 50263 100770
GCA_009732905.1 78767658 33197 32476 31919 31199 31012 1646 15868 63347 126800
GCA_009732925.1 78823164 33595 33012 32057 31824 31492 1400 16108 63859 128097
GCA_009732945.1 78890942 33244 32490 32023 31323 31062 1637 15928 63537 127142
GCA_009732985.1 79739945 33893 33235 32195 31993 31692 1398 16170 64064 128623
GCA_009733005.1 80058972 33833 33206 32245 32094 31682 1371 16178 64179 128717
GCA_009733025.1 79986607 33866 33262 32175 32012 31694 1397 16165 64037 128533
GCA_009733045.1 79240560 33743 33062 32124 31907 31608 1363 16134 63939 128221
GCA_009733065.1 79356741 33822 33176 32102 31901 31617 1392 16122 63915 128258
GCA_009733085.1 80092187 33966 33280 32198 32061 31679 1406 16160 64104 128726
GCA_009733105.1 80074095 33902 33276 32205 32014 31693 1406 16172 64085 128620
GCA_009733125.1 79795872 33858 33201 32270 32008 31661 1379 16159 64227 128749
GCA_009733145.1 78796482 33269 32563 32023 31259 31059 1644 15949 63490 127031
GCA_012295415.1 45871644 22148 21713 21756 21559 21576 1441 10856 43438 86899
GCA_012295425.1 48522115 22913 22795 22720 22483 22652 1388 11300 45413 90618
GCA_012295475.1 61904570 27908 28017 26834 27319 26903 1588 13321 54359 108841
GCA_012552325.1 233833953 49081 46471 44232 43221 42504 1950 22001 88331 176606
GCA_012656105.1 75871586 29179 28685 27908 27934 27947 1182 13891 55766 112130
GCA_012932265.1 57062630 26570 26388 25934 25660 25545 760 12871 51729 103063
GCA_016618375.1 95353620 27995 26726 26186 25610 25462 1002 13096 51836 103980
GCA_016864635.1 60638888 27163 27341 26796 26612 26809 1307 13299 53719 107384
GCA_016864665.1 61464937 27287 27417 26856 26682 26880 1301 13336 53821 107555
GCA_016864695.1 61559140 27258 27404 26845 26695 26887 1314 13331 53796 107556
GCA_016864715.1 61417994 27335 27516 26944 26748 27011 1306 13385 54029 108004
GCA_016864735.1 62334549 27784 27910 27346 27137 27362 1313 13583 54827 109565
GCA_016864755.1 61557802 27342 27420 26918 26744 26910 1309 13370 53926 107771
GCA_016864775.1 61468384 27396 27593 26965 26833 27045 1307 13397 54092 108209
GCA_016864795.1 62034011 27653 27834 27193 27036 27265 1301 13496 54599 109231
GCA_016864815.1 61438509 27271 27383 26817 26647 26851 1305 13325 53766 107471
GCA_016864835.1 61235250 27232 27409 26827 26671 26863 1302 13316 53805 107538
GCA_016864855.1 61895332 27612 27737 27197 26957 27192 1315 13499 54465 108842
GCA_016865055.1 60704655 27441 27550 27039 26860 27068 1293 13422 54234 108380
GCA_016865075.1 60473180 27232 27357 26793 26639 26854 1303 13295 53737 107438
GCA_016865085.1 60508630 27299 27472 26873 26654 26942 1302 13335 53757 107596
GCA_016865095.1 61341915 27300 27199 26632 26519 26538 1314 13312 53378 106453
GCA_016880175.1 61369471 27286 27135 26655 26530 26569 1301 13308 53417 106527
GCA_016880985.1 61228142 27255 27161 26575 26471 26516 1305 13280 53279 106348
GCA_016906365.1 62116567 27526 27819 27073 27007 27174 1303 13451 54317 108757
GCA_017309695.1 76455456 34341 34423 34059 33702 34044 1411 16908 68027 136217
GCA_018292885.1 77800034 26358 25555 25093 24778 25014 963 12495 50112 100783
GCA_018292895.1 77582640 26438 25656 25396 24963 25050 949 12727 50449 101293
GCA_018292905.1 75767690 26091 25366 25151 24811 24864 956 12524 50002 100012
GCA_018691715.1 111073614 34846 33573 32509 32102 31640 1368 16356 64752 129456
GCA_018873745.1 51221495 24647 24607 24345 24262 24498 1446 12130 48758 97643
GCA_018873755.1 52269642 24816 25235 24777 24711 24887 1157 12342 49681 99587
GCA_019155685.1 40466701 19001 18823 18794 18839 18886 671 9412 37322 75031
GCA_019155715.1 49557427 22768 22662 22565 22270 22368 1389 11216 45054 89873
GCF_000142945.1 231402766 51176 48485 45776 45010 44326 2009 22754 91527 183398
GCF_000149755.1 83630151 29823 28885 29044 28264 28279 1303 14433 57916 114901
GCF_000247585.1 83419396 25034 24818 24819 24702 24759 1410 12434 49576 98952
